Project Install Year,Contractor,County,City,Project Count by City,Project Cost,"Incentive, Dollars",Total Nameplate KW,Expected KWh Annual Production,Solicitation,Location 1
2014,SolarCity(CS),Albany,Slingerlands,5,207256.00,32662.00,38.96,45732.81,PON 2112,"Slingerlands, NY
(42.62901253000007, -73.86620881199997)"
2012,SunPower SolarProgram I LLC,Richmond,Staten Island,10,454868.35,99450.30,82.26,96549.51,PON 2112,"Staten Island, NY
(40.64244049200005, -74.07527883899996)"
2012,SolarCity(CS),Saratoga,Middle Grove,3,94326.00,25547.00,18.96,22256.00,PON 2112,"Middle Grove, NY
(43.089102628000035, -73.91826847999994)"
2012,Best Energy Power (CS),Kings,BROOKLYN,15,1745024.74,545460.00,375.64,440941.25,PON 2112,"BROOKLYN, NY
(42.43316414800006, -78.74751623799995)"
2015,SunPower Capital LLC (E),Queens,Oakland Gardens,3,141682.00,20359.00,27.80,32626.89,PON 2112,"Oakland Gardens, NY
(40.74886272400005, -73.75657675299993)"
2014,SolarCity(CS),Ulster,Hurley,4,143232.00,20209.00,27.31,32045.84,PON 2112,"Hurley, NY
(41.925900254000055, -74.06391996199994)"
2015,NRG Residential Solar Solutions LLC (E)(CS),Orange,Walden,3,90009.85,22390.00,25.34,29739.23,PON 2112,"Walden, NY
(41.56074013800003, -74.19114827799996)"
2012,Solar Liberty Energy Systems Inc. (CS),Erie,Amherst,3,283773.36,76311.00,43.90,51533.92,PON 2112,"Amherst, NY
(42.978892622000046, -78.79944697999997)"
2014,SunRun Inc. (E),Rockland,Suffern,4,115183.90,30345.00,30.35,35620.18,PON 2112,"Suffern, NY
(41.11484085700005, -74.14954944699997)"
2012,Fiveboro Solar,Kings,Brooklyn,10,498779.48,133705.00,85.91,100844.59,PON 2112,"Brooklyn, NY
(42.43316414800006, -78.74751623799995)"
2015,SolarCity(CS),Schenectady,Schenectady,152,5670986.91,659126.00,1020.48,1197674.75,PON 2112,"Schenectady, NY
(42.81225278100004, -73.94101735499999)"
2014,SunPower SolarProgram I LLC,Richmond,Staten Island,5,206135.00,44544.00,37.92,44526.10,PON 2112,"Staten Island, NY
(40.64244049200005, -74.07527883899996)"
2014,Kilowatt Systems LLC,Orange,Monroe,3,84103.06,18675.00,21.00,24650.64,PON 2112,"Monroe, NY
(41.328121003000035, -74.18712932499994)"
2014,SolarCity(CS),Ulster,Kingston,9,273090.00,41774.00,53.70,63035.21,PON 2112,"Kingston, NY
(41.926713826000025, -73.99649580099998)"
2015,SolarCity(CS),Albany,Latham,14,519528.20,56611.00,92.78,108891.28,PON 2112,"Latham, NY
(42.744121747000065, -73.76181828599994)"
2015,SolarCity(CS),Rensselaer,Castleton on Hudson,15,654751.92,79658.00,116.93,137245.38,PON 2112,"Castleton on Hudson, NY
(42.53158403900005, -73.75623887599994)"
2015,SolarCity(CS),Sullivan,Bloomingburg,3,150836.00,15932.00,26.94,31617.38,PON 2112,"Bloomingburg, NY
(41.557090182000024, -74.44730762999995)"
2015,Kilowatt Systems LLC,Orange,Chester,8,248745.60,42371.00,63.00,73951.92,PON 2112,"Chester, NY
(41.36149076100003, -74.27361683799995)"
2014,SolarCity(CS),Saratoga,Gansevoort,13,602463.00,83523.00,108.41,127214.90,PON 2112,"Gansevoort, NY
(43.196351769000046, -73.65209731099998)"
2012,SunPower SolarProgram I LLC,Tompkins,Ithaca,4,186096.50,38367.00,34.67,40687.65,PON 2112,"Ithaca, NY
(42.44051296300006, -76.49545767599994)"
2013,Viola Homes dba Renewable Rochester (CS),Monroe,Webster,3,131755.00,43368.00,32.49,38138.07,PON 2112,"Webster, NY
(43.217300117000036, -77.43013989099995)"
2014,SolarCity(CS),Westchester,Ardsley,3,106200.00,18087.00,19.95,23418.11,PON 2112,"Ardsley, NY
(41.011792945000025, -73.84801682599993)"
2011,New York Light Energy,Montgomery,Amsterdam,3,1190952.00,262500.00,171.36,201149.22,PON 2112,"Amsterdam, NY
(42.938960945000076, -74.18892985099995)"
2015,NRG Residential Solar Solutions LLC (E)(CS),Dutchess,Hopewell Junction,10,275159.89,64611.00,78.48,92105.35,PON 2112,"Hopewell Junction, NY
(41.575402204000056, -73.80723601199998)"
2012,Direct Energy Solar (E) (CS),Niagara,Barker,3,128849.00,31500.00,30.36,35637.78,PON 2112,"Barker, NY
(43.33008420900006, -78.55170786799994)"
2013,Hudson Solar(CS),Schenectady,Schenectady,3,94483.05,21770.00,15.91,18661.71,PON 2112,"Schenectady, NY
(42.81225278100004, -73.94101735499999)"
2015,SunRun Inc. (E),Rockland,Garnerville,6,112805.64,23312.00,34.04,39957.51,PON 2112,"Garnerville, NY
(41.20728122200006, -73.99601565999996)"
2015,CNY Solar Inc.(CS),Onondaga,manlius,7,233768.00,64425.00,71.05,83389.59,PON 2112,"manlius, NY
(43.001881567000055, -75.97990691499996)"
2015,TAITEM Engineering (E) (CS),Tompkins,Trumansburg,5,191168.00,50996.00,56.56,66385.36,PON 2112,"Trumansburg, NY
(42.54209377900003, -76.66447598999997)"
2015,Solar Liberty Energy Systems Inc. (CS),Erie,East Amherst,5,123588.75,37100.00,37.62,44159.86,PON 2112,"East Amherst, NY
(43.02620423500008, -78.69697701499996)"
2015,SolarCity(CS),Putnam,Mahopac,6,259504.00,28297.00,46.34,54395.74,PON 2112,"Mahopac, NY
(41.36724355500007, -73.74027865399995)"
2015,SunPower Capital LLC (E),Rockland,Nanuet,5,216566.00,39620.00,44.16,51819.16,PON 2112,"Nanuet, NY
(41.09726238300004, -74.01327848599993)"
2013,New York Light Energy,Rensselaer,Troy,8,3457078.35,989598.00,895.23,1050856.80,PON 2112,"Troy, NY
(42.73449226400004, -73.68808561299994)"
2014,SolarCity(CS),Schenectady,Pattersonville,8,382225.00,62401.00,71.11,83448.28,PON 2112,"Pattersonville, NY
(42.88882183900006, -74.07765731199999)"
2012,SolarCity(CS),Orange,Chester,3,107460.00,24750.00,21.60,25354.95,PON 2112,"Chester, NY
(41.36149076100003, -74.27361683799995)"
2015,SolarCity(CS),Ulster,Highland,14,625479.13,73622.00,111.92,131364.43,PON 2112,"Highland, NY
(41.72125374400008, -73.96079647199997)"
2014,SolarCity(CS),Ulster,Saugerties,9,463722.00,85962.00,92.01,108005.02,PON 2112,"Saugerties, NY
(42.07778022400004, -73.95245625599995)"
2012,Solar Liberty Energy Systems Inc. (CS),Niagara,Lockport,4,239895.00,76482.00,44.90,52710.11,PON 2112,"Lockport, NY
(43.169192716000055, -78.69536765499998)"
2015,O'Connell Electric Company(CS),Monroe,Rochester,4,93770.00,23220.00,26.52,31124.37,PON 2112,"Rochester, NY
(43.155802133000066, -77.61631877899998)"
2013,Sungevity Development LLC (E),Ulster,Kingston,3,93484.65,17872.00,16.91,19843.77,PON 2112,"Kingston, NY
(41.926713826000025, -73.99649580099998)"
2015,Apex Solar Power LLC(CS),Warren,Queensbury,9,261887.50,61350.00,81.75,95961.42,PON 2112,"Queensbury, NY
(43.331960313000025, -73.67748695799997)"
2013,SolarCity(CS),Ulster,High Falls,4,121747.00,27814.00,24.26,28477.36,PON 2112,"High Falls, NY
(41.826511190000076, -74.12649826099994)"
2015,Direct Energy Solar (E) (CS),Erie,Buffalo,4,84724.00,15338.00,19.39,22749.02,PON 2112,"Buffalo, NY
(42.88544307300003, -78.87845675099999)"
2013,SolarCity(CS),Rockland,Orangeburg,3,100036.48,18345.00,19.62,23024.87,PON 2112,"Orangeburg, NY
(41.05303167100004, -73.94646783799993)"
2014,Sungevity Development LLC (E),Onondaga,Cicero,3,94146.00,20330.00,21.31,25002.79,PON 2112,"Cicero, NY
(43.17710169500003, -76.08239910799995)"
2014,Sungevity Development LLC (E),Ulster,Gardiner,3,99671.00,22550.00,22.55,26470.09,PON 2112,"Gardiner, NY
(41.679943886000046, -74.15101654199998)"
2014,OnForce Solar Inc. (SS),Queens,Howard Beach,4,130196.00,31935.00,31.94,37486.58,PON 2112,"Howard Beach, NY
(40.65483078200003, -73.84601624099997)"
2014,Direct Energy Solar (E) (CS),Tompkins,Ithaca,8,184531.00,37583.00,44.98,52799.32,PON 2112,"Ithaca, NY
(42.44051296300006, -76.49545767599994)"
2015,SunPower Capital LLC (E),Dutchess,Poughkeepsie,5,242502.80,47161.00,52.31,61415.30,PON 2112,"Poughkeepsie, NY
(41.70671171300006, -73.92936950399996)"
2013,SolarCity(CS),Greene,Cairo,3,154196.00,24073.00,30.94,36318.61,PON 2112,"Cairo, NY
(42.301072187000045, -74.00145725199997)"
2014,Hudson Solar(CS),Albany,Albany,6,266772.00,60391.00,61.06,71666.46,PON 2112,"Albany, NY
(42.65155245500006, -73.75520746399997)"
2014,SolarCity(CS),Rensselaer,Wynantskill,5,219774.00,32165.00,41.43,48614.59,PON 2112,"Wynantskill, NY
(42.69377369000006, -73.63512790499993)"
2012,Halcyon dba Halco Renewable Energy (CS),Tompkins,Trumansburg,4,156517.71,41715.00,26.64,31271.10,PON 2112,"Trumansburg, NY
(42.54209377900003, -76.66447598999997)"
2014,Sungevity Development LLC (E),Montgomery,Saint Johnsville,3,81995.70,18835.00,18.84,22109.28,PON 2112,"Saint Johnsville, NY
(42.998733980000054, -74.67819737099995)"
2015,SolarCity(CS),Ulster,Gardiner,4,160804.00,20509.00,28.72,33706.81,PON 2112,"Gardiner, NY
(41.679943886000046, -74.15101654199998)"
2013,SunBlue Energy,New York,New York,4,148680.00,23250.00,15.50,18194.52,PON 2112,"New York, NY
(40.71455046700004, -74.00711668399998)"
2015,American Renewable Energy Inc. (Amergy),Richmond,Staten Island,6,336800.00,73020.00,67.78,79540.57,PON 2112,"Staten Island, NY
(40.64244049200005, -74.07527883899996)"
2015,Steed Energy LLC,Yates,Penn Yan,4,331931.24,80842.00,90.14,105809.95,PON 2112,"Penn Yan, NY
(42.663631542000076, -77.05529694299997)"
2015,Solar Liberty Energy Systems Inc. (CS),Erie,Grand Island,4,117046.50,32895.00,35.55,41730.01,PON 2112,"Grand Island, NY
(43.03073000300003, -78.96591788299997)"
2015,SolarCity(CS),Rockland,Congers,5,258468.00,23259.00,46.17,54178.58,PON 2112,"Congers, NY
(41.151140360000056, -73.94686795499996)"
2012,Solar Liberty Energy Systems Inc. (CS),Erie,Kenmore,3,447629.00,162365.00,93.18,109378.41,PON 2112,"Kenmore, NY
(42.962390019000054, -78.87870571299999)"
2014,SolarCity(CS),Westchester,Yonkers,14,422815.00,59679.00,80.67,94676.06,PON 2112,"Yonkers, NY
(40.932992123000076, -73.89873832499995)"
2014,SolarCity(CS),Rockland,Spring Valley,3,138750.00,17775.00,26.25,30813.30,PON 2112,"Spring Valley, NY
(41.12102044100004, -74.04264707399994)"
2014,SolarCity(CS),Montgomery,Hagaman,4,186990.00,32815.00,35.40,41553.94,PON 2112,"Hagaman, NY
(42.97457135900004, -74.15112768599994)"
2014,SolarCity(CS),Rensselaer,Buskirk,4,216210.00,40080.00,41.10,48244.83,PON 2112,"Buskirk, NY
(42.95797094900007, -73.43299768499998)"
2015,Sungevity Development LLC (E),Niagara,Lockport,3,146319.70,28835.00,28.84,33847.68,PON 2112,"Lockport, NY
(43.169192716000055, -78.69536765499998)"
2013,SolarCity(CS),Westchester,Dobbs Ferry,3,89302.58,19723.00,17.65,20706.53,PON 2112,"Dobbs Ferry, NY
(41.01519393900003, -73.87488690599997)"
2014,Kilowatt Systems LLC,Rockland,Stony Point,5,156792.79,36520.00,39.75,46660.14,PON 2112,"Stony Point, NY
(41.24568356300006, -74.01170913799996)"
2015,SunRun Inc. (E),Richmond,Staten Island,15,404864.90,94702.00,100.24,117659.84,PON 2112,"Staten Island, NY
(40.64244049200005, -74.07527883899996)"
2014,Kilowatt Systems LLC,Orange,New Windsor,14,393220.03,90709.00,100.75,118264.38,PON 2112,"New Windsor, NY
(41.47737353800005, -74.02278793399995)"
2014,Best Energy Power (CS),Queens,Jackson Heights,3,738500.00,218250.00,211.00,247680.24,PON 2112,"Jackson Heights, NY
(40.74940065900006, -73.88755727699998)"
2015,1st Light Energy Inc.,Richmond,Staten Island,160,4392408.40,650720.00,845.19,991930.06,PON 2112,"Staten Island, NY
(40.64244049200005, -74.07527883899996)"
2012,Solar Liberty Energy Systems Inc. (CS),Erie,Cheektowaga,3,689259.00,205065.00,124.32,145931.78,PON 2112,"Cheektowaga, NY
(42.90393292400006, -78.74056753999997)"
2013,SunRun Inc. (E),Dutchess,Hopewell Junction,4,116457.50,32156.00,30.25,35508.66,PON 2112,"Hopewell Junction, NY
(41.575402204000056, -73.80723601199998)"
2015,SolarCity(CS),Albany,Albany,108,3674660.89,454799.00,662.81,777856.82,PON 2112,"Albany, NY
(42.65155245500006, -73.75520746399997)"
2013,CIR Electrical Construction Corp,Erie,Getzville,3,67306.00,25558.00,20.01,23488.54,PON 2112,"Getzville, NY
(43.02421254200004, -78.76859795899998)"
2015,SolarCity(CS),Ulster,Wallkill,18,943044.00,111190.00,168.40,197662.92,PON 2112,"Wallkill, NY
(41.60374382500004, -74.18037623899994)"
2015,Best Energy Power (CS),Kings,Brooklyn,3,196451.04,47305.00,49.74,58386.80,PON 2112,"Brooklyn, NY
(42.43316414800006, -78.74751623799995)"
2014,SunRun Inc. (E),Orange,Campbell Hall,6,180163.70,50628.00,46.17,54190.32,PON 2112,"Campbell Hall, NY
(41.45641185200003, -74.26004842599997)"
2015,Solar Generation Inc. (CS),Ulster,West Hurley,3,83160.00,16608.00,19.92,23382.89,PON 2112,"West Hurley, NY
(41.99711219000005, -74.10402946899995)"
2013,SunRun Inc. (E),Orange,New Windsor,10,270720.50,84593.00,65.31,76651.76,PON 2112,"New Windsor, NY
(41.47737353800005, -74.02278793399995)"
2015,Direct Energy Solar (E) (CS),Tompkins,Trumansburg,4,170768.25,34537.00,44.13,51795.69,PON 2112,"Trumansburg, NY
(42.54209377900003, -76.66447598999997)"
2015,SolarCity(CS),Saratoga,Corinth,3,92820.00,11197.00,16.58,19456.40,PON 2112,"Corinth, NY
(43.24422354500007, -73.82990930899996)"
2015,Qwiksolar LLC,Ontario,Geneva,13,1166154.76,339839.00,348.33,408883.69,PON 2112,"Geneva, NY
(42.866424178000045, -76.98208886899994)"
2014,Sungevity Development LLC (E),Seneca,Interlaken,3,61314.00,11792.00,13.38,15705.98,PON 2112,"Interlaken, NY
(42.61905406200003, -76.72488921199994)"
2014,Sungevity Development LLC (E),Orange,Newburgh,6,204974.50,42914.00,45.40,53280.60,PON 2112,"Newburgh, NY
(41.49994013700007, -74.01022870499997)"
2015,SolarCity(CS),Westchester,West Harrison,3,82600.00,9900.00,14.75,17314.14,PON 2112,"West Harrison, NY
(41.03827179900003, -73.74770749299995)"
2015,Sungevity Development LLC (E),Cortland,Cortland,5,182802.50,39775.00,47.50,55757.40,PON 2112,"Cortland, NY
(42.60349395700007, -76.17481724499999)"
2014,SunRun Inc. (E),Orange,Washingtonville,8,222687.00,55960.00,56.75,66615.42,PON 2112,"Washingtonville, NY
(41.42558061400007, -74.17023994099998)"
2014,Lotus Energy Inc.(CS),Columbia,Hillsdale,4,193456.00,30379.00,28.13,33010.73,PON 2112,"Hillsdale, NY
(42.226143609000076, -73.50464974899995)"
2014,SunPower Capital LLC (E),Rockland,New City,3,105751.00,21582.00,21.59,25333.82,PON 2112,"New City, NY
(41.148281747000055, -74.00979746799999)"
2014,Sungevity Development LLC (E),Schenectady,Schenectady,14,434921.75,84528.00,97.78,114766.33,PON 2112,"Schenectady, NY
(42.81225278100004, -73.94101735499999)"
2014,Positive Energy NY LLC,Saratoga,Saratoga Springs,3,100100.04,22445.00,22.45,26346.83,PON 2112,"Saratoga Springs, NY
(43.08390110700003, -73.78449602799998)"
2014,SolarCity(CS),Westchester,Peekskill,4,106400.00,17425.00,19.63,23042.48,PON 2112,"Peekskill, NY
(41.29091012200007, -73.92205625499997)"
2015,ETM Solar Works,Tompkins,Ithaca,5,117869.00,26928.00,26.93,31609.16,PON 2112,"Ithaca, NY
(42.44051296300006, -76.49545767599994)"
2014,NRG Residential Solar Solutions LLC (E)(CS),Orange,Rock Tavern,3,135586.50,29243.00,35.68,41876.74,PON 2112,"Rock Tavern, NY
(41.46661039000003, -74.18533768999998)"
2013,Apex Solar Power LLC(CS),Warren,Queensbury,4,142187.44,47859.00,38.16,44793.72,PON 2112,"Queensbury, NY
(43.331960313000025, -73.67748695799997)"
2014,Monolith Solar Associates LLC(CS),Saratoga,Mechanicville,8,844795.00,245133.00,197.25,231539.95,PON 2112,"Mechanicville, NY
(42.90405295900007, -73.68538704599996)"
2015,CNY Solar Inc.(CS),Onondaga,syracuse,29,543058.00,148589.00,161.29,189275.84,PON 2112,"syracuse, NY
(43.04999341400003, -76.14738700099997)"
2014,Solar Liberty Energy Systems Inc. (CS),Erie,Buffalo,10,697990.51,173350.00,135.18,158679.68,PON 2112,"Buffalo, NY
(42.88544307300003, -78.87845675099999)"
2014,SolarCity(CS),Albany,Watervliet,6,329006.00,50445.00,60.40,70882.34,PON 2112,"Watervliet, NY
(42.725783051000064, -73.70047590299998)"
2013,Qwiksolar LLC,Ontario,Geneva,5,256076.42,90723.00,67.38,79093.35,PON 2112,"Geneva, NY
(42.866424178000045, -76.98208886899994)"
2015,SolarCity(CS),Westchester,White Plains,26,882522.00,92700.00,159.51,187221.61,PON 2112,"White Plains, NY
(41.03354152700007, -73.76414785599997)"
2014,SunRun Inc. (E),Rockland,Pearl River,3,83968.00,17864.00,21.50,25237.56,PON 2112,"Pearl River, NY
(41.05948244600006, -74.02430837799994)"
2015,Kilowatt Systems LLC,Orange,New Windsor,4,125311.55,25091.00,33.50,39323.64,PON 2112,"New Windsor, NY
(41.47737353800005, -74.02278793399995)"
2012,Solar Generation Inc. (CS),Ulster,woodstock,3,102600.00,29050.00,18.71,21962.54,PON 2112,"woodstock, NY
(42.04194307700004, -74.11829586299996)"
2015,Direct Energy Solar (E) (CS),Monroe,Rochester,3,105539.44,21573.00,28.45,33384.01,PON 2112,"Rochester, NY
(43.155802133000066, -77.61631877899998)"
2014,SunPower Capital LLC (E),Orange,Montgomery,3,142418.20,34521.00,29.76,34929.96,PON 2112,"Montgomery, NY
(41.52723256200005, -74.23719729899994)"
2015,SunPower Capital LLC (E),Richmond,Staten Island,324,15070184.79,2645493.00,2967.18,3482729.21,PON 2112,"Staten Island, NY
(40.64244049200005, -74.07527883899996)"
2012,SolarCity(CS),Rockland,Stony Point,4,123454.89,25249.43,24.82,29128.84,PON 2112,"Stony Point, NY
(41.24568356300006, -74.01170913799996)"
2014,Solar Liberty Energy Systems Inc. (CS),Niagara,Niagara Falls,3,86878.01,26760.00,27.03,31728.90,PON 2112,"Niagara Falls, NY
(43.09548227200003, -79.05581972799996)"
2014,EmPower CES LLC,Queens,Whitestone,3,138198.00,29535.00,24.63,28911.68,PON 2112,"Whitestone, NY
(40.788412067000024, -73.81363788399995)"
2014,SolarCity(CS),Ulster,Wallkill,16,737549.00,103664.00,137.37,161226.93,PON 2112,"Wallkill, NY
(41.60374382500004, -74.18037623899994)"
2014,New York Light Energy,Albany,Ravena,4,2642120.06,478400.00,714.56,838779.12,PON 2112,"Ravena, NY
(42.47181100500006, -73.81276651799999)"
2012,Renovus Energy Inc. (E) (CS),Tompkins,Ithaca,9,593801.23,214266.00,117.60,138044.75,PON 2112,"Ithaca, NY
(42.44051296300006, -76.49545767599994)"
2015,SolarCity(CS),Ulster,Lake Katrine,5,196700.00,22890.00,35.13,41231.13,PON 2112,"Lake Katrine, NY
(41.99856150200003, -73.99912768099995)"
2014,Lighthouse Solar (CS),Orange,New Windsor,3,191724.00,59600.00,57.80,67847.95,PON 2112,"New Windsor, NY
(41.47737353800005, -74.02278793399995)"
2015,SunRun Inc. (E),Dutchess,Beacon,3,92755.00,14504.00,23.50,27585.24,PON 2112,"Beacon, NY
(41.506662102000064, -73.97281776499995)"
2015,Renovus Energy Inc. (E) (CS),Tompkins,Lansing,5,154061.00,37404.00,38.30,44958.07,PON 2112,"Lansing, NY
(42.486922090000064, -76.48780654899997)"
